Name,Gene_ID,GenomeBuild,Chr,Accession
cg11744351,5412,36,13,NM_007106.2
cg11745019,284,36,8,NM_001146.3
cg11747499,54434,36,12,NM_018984.2
cg11747771,2731,36,9,NM_000170.1
cg11748006,826,36,19,NM_001003962.1
cg11750183,55071,36,9,NM_017998.1
cg11750883,54544,36,1,NM_019060.1
cg11752275,10578,36,2,NM_006433.2
cg11754095,1519,36,4,NM_001334.2
cg11754206,9312,36,8,NM_004770.2
cg11754343,4927,36,17,NM_002532.3
cg11754676,7556,36,12,NM_015394.4
cg11756837,5564,36,12,NM_006253.4
cg11757293,90990,36,8,NM_145754.2
cg11759378,151871,36,3,NM_138815.2
cg11761535,116441,36,3,NM_138786.1
cg11762346,80201,36,10,NM_025130.2
cg11762629,10106,36,12,NM_005730.2
cg11763112,22832,36,6,NM_014895.1
cg11764747,1947,36,X,NT_011669.16
cg11765205,115761,36,13,NM_138450.3
cg11766698,7385,36,16,NM_003366.2
cg11767711,333,36,19,NM_001024807.1
cg11768416,196477,36,12,NM_152638.2
cg11768886,55351,36,4,NM_018401.1
cg11769360,64167,36,5,NM_022350.1
cg11772764,89765,36,21,NM_080860.2
cg11777321,7008,36,22,NM_003216.2
cg11778001,4664,36,2,NM_005966.3
cg11780382,81688,36,6,NM_030939.3
cg11780934,124930,36,17,NM_152345.3
cg11781389,89944,36,11,NM_138342.2
cg11783451,90693,36,7,NM_138771.2
cg11783497,3557,36,2,NM_000577.3
cg11784281,165100,36,2,NM_152614.1
cg11784785,9152,36,11,NM_004211.1
cg11786750,51143,36,3,NM_016141.1
cg11787522,64220,36,15,NM_022369.2
cg11787828,29078,36,6,NM_014165.1
cg11787839,84223,36,3,NM_032263.2
cg11790217,8554,36,15,NM_016166.1
cg11792483,57168,36,22,NM_020437.3
cg11792664,10975,36,19,NM_006830.2
cg11793332,1997,36,13,NM_172373.2
cg11793380,114904,36,22,NM_031910.3
cg11794728,11278,36,13,NM_016285.2
cg11795262,54815,36,19,NM_017660.2
cg11797883,81873,36,9,NM_030978.1
cg11797994,60529,36,11,NT_009237.17
cg11799561,26952,36,4,NM_012390.3
cg11800672,55630,36,8,NM_130849.1
cg11801011,50944,36,19,NM_016148.1
cg11801374,140706,36,20,NM_080625.2
cg11802013,595,36,11,NT_078088.3
cg11802692,55033,36,7,NM_017946.2
cg11804789,8530,36,20,NM_003650.2
cg11806389,55663,36,19,NM_017908.1
cg11806565,5255,36,X,NM_002637.1
cg11806749,8464,36,6,NM_181356.1
cg11808544,360132,36,7,NM_182827.1
cg11808757,85378,36,22,NM_001008658.1
cg11808874,84908,36,2,NM_032822.1
cg11809085,9966,36,9,NM_005118.2
cg11809091,56129,36,5,NM_018940.2
cg11810837,64860,36,X,NM_022838.2
cg11811840,54658,36,2,NM_000463.2
cg11812202,5406,36,10,NM_000936.2
cg11812218,2693,36,3,NM_198407.1
cg11814446,23592,36,12,NM_014319.3
cg11815363,3775,36,1,NM_002245.2
cg11816577,7531,36,17,NM_006761.3
cg11819013,3615,36,3,NM_000884.2
cg11819429,22985,36,14,NM_014977.1
cg11819637,7066,36,3,NM_000460.2
cg11820497,84971,36,19,NM_032885.4
cg11820734,51318,36,2,NM_016622.2
cg11821147,83591,36,12,NM_031435.1
cg11821536,123016,36,14,NM_198309.2
cg11821702,2315,36,9,NM_005511.1
cg11822659,55816,36,20,NM_018431.3
cg11822772,55609,36,X,NM_017666.2
cg11822932,4005,36,11,NM_005574.2
cg11822964,5739,36,19,NM_000960.3
cg11823654,80119,36,15,NM_025049.1
cg11824111,1736,36,X,NM_001363.2
cg11825652,858,36,7,NM_001233.3
cg11826116,468,36,22,NM_182810.1
cg11826486,7117,36,4,NM_183049.2
cg11827101,339789,36,2,NM_207358.1
cg11827595,55845,36,3,NM_018462.4
cg11828089,83698,36,7,NM_031468.2
cg11828669,7597,36,14,NM_006977.2
cg11830061,11172,36,9,NM_007179.2
cg11832543,84066,36,1,NM_032126.1
cg11832722,1825,36,18,NM_001941.2
cg11832727,473,36,1,NM_012102.2
cg11833861,26022,36,17,NM_015544.2
cg11834681,1553,36,19,NM_000766.3
cg11835197,339488,36,1,NM_178548.2
cg11835355,80833,36,22,NM_030644.1
cg11837864,79137,36,2,NM_024293.2
cg11839979,84187,36,X,NM_032227.1
cg11840168,5932,36,18,NM_002894.2
cg11840540,53827,36,19,NM_014164.4
cg11841758,4116,36,1,NM_002370.2
cg11843304,5800,36,12,NT_009714.16
cg11843691,23158,36,4,NM_015130.1
cg11843760,1676,36,1,NM_004401.2
cg11844110,388732,36,1,XR_000522.1
cg11845202,196374,36,12,NM_173352.1
cg11846236,1294,36,3,NM_000094.2
cg11846543,23095,36,1,NM_183416.2
cg11846956,5655,36,19,NT_011109.15
cg11846968,51297,36,20,NM_016583.2
cg11847459,51562,36,14,NM_016586.1
cg11847808,2046,36,1,NM_001006943.1
cg11847949,1589,36,6,NM_000500.5
cg11848539,27242,36,6,NM_014452.3
cg11849692,8861,36,10,NM_003893.3
cg11850311,3397,36,20,NM_181353.1
cg11851098,164684,36,22,NM_152613.1
cg11852073,54964,36,1,NM_017860.3
cg11852814,257068,36,3,NM_153268.1
cg11854007,317716,36,20,NM_173859.1
cg11854877,8263,36,X,NM_012151.3
cg11856093,8289,36,1,NM_006015.3
cg11856697,64446,36,17,NM_023036.1
cg11856918,526,36,8,NM_001693.2
cg11857445,26574,36,17,NM_012138.3
cg11858029,29914,36,1,NM_013319.1
cg11860203,6347,36,17,NM_002982.3
cg11861730,2113,36,11,NM_005238.2
cg11864993,57717,36,5,NM_020957.1
cg11867686,5499,36,11,NM_002708.3
cg11868029,1075,36,11,NM_001814.2
cg11868900,79645,36,8,NM_024593.2
cg11869721,51108,36,16,NM_016025.2
cg11871280,9194,36,12,NM_004731.3
cg11871549,170261,36,X,NM_173798.2
cg11873854,158062,36,9,NM_198946.2
cg11874272,942,36,3,NM_006889.2
cg11876012,79622,36,16,NM_024571.2
cg11876705,,,,
cg11876919,10363,36,15,NM_018200.2
cg11877382,144423,36,12,NM_144669.1
cg11879188,28,36,9,NM_020469.2
cg11879480,120103,36,11,NM_152313.2
cg11879514,9120,36,17,NM_004694.2
cg11879577,23204,36,16,NM_015161.1
cg11880010,23273,36,9,NM_015225.1
cg11880211,1442,36,17,NM_001317.3
cg11880892,5464,36,10,NM_021129.2
cg11882252,134147,36,5,NM_138809.2
cg11884243,2220,36,9,NM_004108.2
cg11884546,3687,36,16,NM_000887.3
cg11884656,80218,36,3,NM_025146.1
cg11884699,79541,36,6,NM_030908.1
cg11884792,64859,36,2,NM_022837.1
cg11885098,1943,36,19,NM_001405.2
cg11887234,23583,36,12,NM_014311.1
cg11890956,8624,36,21,NM_003720.2
cg11891504,54930,36,14,NM_017815.1
cg11891583,2747,36,X,NM_012084.3
cg11893236,54496,36,16,NM_019023.1
cg11893323,81605,36,9,NM_030914.1
cg11896271,56666,36,22,NM_052839.2
cg11896345,124935,36,17,NM_152346.1
cg11896923,5409,36,17,NM_002686.2
cg11897314,51334,36,5,NM_016644.1
cg11898695,171558,36,6,NM_138296.1
cg11899895,8887,36,7,NM_006024.4
cg11901954,25896,36,1,NM_015434.1
cg11902458,3782,36,1,NM_002249.3
cg11903057,399,36,4,NM_004310.2
cg11903096,5527,36,14,NM_178586.1
cg11903151,388152,36,15,NM_203426.1
cg11903880,2948,36,1,NM_000850.3
cg11904887,79594,36,1,NM_024544.1
cg11905488,160364,36,12,NM_138337.3
cg11905589,51247,36,5,NM_016480.3
cg11905617,27252,36,1,NM_014458.3
cg11906718,25897,36,8,NM_015435.3
cg11908570,9674,36,1,NM_014656.1
cg11909310,85865,36,7,NM_033107.1
cg11909865,120379,36,11,NM_138789.2
cg11911418,55520,36,18,NM_018696.2
cg11911951,65259,36,16,NM_023076.2
cg11912049,363,36,12,NM_001652.2
cg11913104,5886,36,19,NM_005053.2
cg11913615,93107,36,16,NM_133490.2
cg11916186,9967,36,1,NM_005119.2
cg11916609,9173,36,2,NM_016232.4
cg11917694,57559,36,10,NM_020799.2
cg11919271,64805,36,3,NM_022788.3
cg11919694,26000,36,16,NM_015527.2
cg11920519,84557,36,20,NM_181509.1
cg11921829,79368,36,1,NM_030764.2
cg11928198,79005,36,1,NM_024041.2
cg11928366,4713,36,19,NM_004146.4
cg11928635,24149,36,6,NM_014345.1
cg11930592,4487,36,4,NT_006051.17
cg11932564,115650,36,22,NM_052945.2
cg11933267,64600,36,1,NM_022819.2
cg11933375,55238,36,16,NM_018231.1
cg11934695,146,36,20,NM_000678.2
cg11935147,9659,36,1,NM_001002812.1
cg11935638,1962,36,3,NM_001966.2
cg11939047,79664,36,15,NM_024611.4
cg11939071,1840,36,12,NM_004416.2
cg11939496,51744,36,1,NM_016382.2
cg11943820,85450,36,10,NM_033397.2
cg11944101,959,36,X,NM_000074.2
cg11944393,9126,36,10,NM_005445.3
cg11946165,1513,36,1,NM_000396.2
cg11946503,4762,36,5,NT_034772.5
cg11946769,10201,36,3,NM_005793.3
cg11947493,8793,36,8,NM_003840.3
cg11948328,51144,36,11,NM_016142.1
cg11951066,84922,36,19,NM_032836.1
cg11951446,10063,36,3,NM_005694.1
cg11952714,51375,36,1,NM_015976.2
cg11953334,2906,36,19,NM_000836.1
cg11953824,8518,36,9,NM_003640.2
cg11953868,140832,36,20,NM_080753.2
cg11956146,26256,36,18,NM_012189.2
cg11957040,5518,36,19,NM_014225.3
cg11957880,7334,36,12,NM_003348.3
cg11957986,5222,36,11,NM_014224.1
cg11959435,3439,36,9,NM_024013.1
cg11959821,9238,36,7,NM_199122.1
cg11960393,4015,36,5,NM_002317.3
cg11961618,7262,36,11,NM_003311.3
cg11964474,672,36,17,NM_007294.2
cg11964613,415,36,X,NM_000047.1
cg11965370,50863,36,11,NM_016522.2
cg11970301,5531,36,16,NM_002720.1
cg11970458,29108,36,16,NT_010393.15
cg11973052,8651,36,16,NT_010393.15
cg11973688,2356,36,9,NM_004957.4
cg11976048,79154,36,17,NM_024308.2
cg11976166,7042,36,1,NM_003238.1
cg11976616,729,36,5,NM_000065.1
cg11976790,1755,36,10,NM_004406.1
cg11977634,780,36,6,NM_001954.3
cg11979312,8743,36,3,NM_003810.2
cg11979382,56257,36,7,NM_019606.4
cg11979959,55959,36,20,NM_018837.2
cg11980188,120227,36,11,NM_024514.4
cg11980435,27113,36,19,NM_014417.2
cg11981599,2626,36,8,NT_077531.3
cg11981631,6833,36,11,NM_000352.2
cg11983245,3866,36,17,NM_002275.2
cg11984608,10686,36,3,NM_006580.2
cg11985856,56681,36,10,NM_020150.3
cg11990309,3354,36,6,NM_000865.1
cg11991627,140680,36,20,NM_153269.1
cg11991859,64067,36,14,NM_022123.1
cg11993300,8509,36,10,NM_003635.2
cg11993754,2064,36,17,NT_010755.15
cg11995303,84259,36,11,NM_032299.2
cg11995732,79159,36,22,NM_024313.1
cg11997899,1749,36,7,NM_005221.4
cg11998307,8578,36,17,NM_145349.1
cg11999384,2896,36,17,NM_002087.2
cg12000587,55352,36,17,NM_018405.2
cg12001148,283212,36,11,NM_173583.1
cg12002314,54108,36,8,NM_017444.3
cg12003230,114038,36,21,NM_153752.1
cg12004206,138151,36,9,NM_144653.3
cg12004730,30851,36,17,NM_014604.2
cg12005098,387700,36,10,NM_213606.1
cg12005703,51409,36,3,NM_016173.3
cg12006284,7490,36,11,NT_009237.17
cg12008118,11155,36,10,NM_007078.1
cg12010995,1581,36,8,NM_000780.2
cg12011267,23368,36,14,NM_015316.1
cg12012699,54808,36,18,NM_017653.2
cg12013321,2729,36,6,NM_001498.2
cg12014368,56246,36,21,NM_178817.3
cg12014417,338442,36,12,NM_177551.3
cg12015615,,,,
cg12017007,57649,36,17,NM_020889.2
cg12018696,6434,36,3,NM_004593.1
cg12019109,563,36,7,NM_001185.2
cg12020639,10768,36,1,NM_006621.3
cg12022621,54900,36,1,NM_017773.2
cg12024292,23245,36,9,NM_198188.1
cg12024906,284459,36,19,NM_181786.2
cg12025941,5992,36,12,NM_002920.3
cg12026394,10541,36,9,NM_006401.1
cg12026956,3842,36,5,NM_002270.2
cg12029639,4081,36,13,NM_005584.2
cg12032009,54832,36,15,NM_017684.3
cg12032049,4025,36,17,NM_006151.1
cg12032116,1657,36,5,NM_005509.3
cg12032620,7158,36,15,NM_005657.1
cg12034229,3364,36,7,NM_004507.2
cg12038710,1015,36,8,NM_004063.2
cg12040555,4255,36,10,NT_008818.15
cg12041387,1749,36,7,NT_007933.14
cg12042396,254042,36,2,NM_199227.1
cg12042678,79723,36,10,NM_024670.3
cg12043807,195828,36,9,NM_153695.2
cg12044210,321,36,15,NM_005503.2
cg12044689,84641,36,9,NM_032558.1
cg12044889,4835,36,6,NM_000904.1
cg12045002,56896,36,2,NM_020134.2
cg12045676,23373,36,19,NM_025021.1
cg12045829,8742,36,17,NM_153012.1
cg12051359,64798,36,8,NM_022783.1
cg12052258,6282,36,1,NM_005620.1
cg12052765,1103,36,10,NM_020986.1
cg12053284,6860,36,18,NM_020783.2
cg12054080,25782,36,1,NM_012414.2
cg12054421,23178,36,2,NM_015148.2
cg12056618,51621,36,15,NM_015995.2
cg12058490,2,36,12,NM_000014.4
cg12059012,51099,36,3,NM_016006.3
cg12061127,259240,36,20,NM_147198.2
cg12061236,9590,36,6,NM_005100.2
cg12062464,8850,36,3,NM_003884.3
cg12062492,10901,36,14,NM_021004.2
cg12062995,5981,36,4,NM_002913.3
cg12063359,60598,36,20,NM_022358.2
cg12064213,55841,36,X,NM_015691.2
cg12064626,6450,36,21,NM_007341.2
cg12064929,84332,36,10,NM_032372.3
cg12066181,1788,36,2,NM_022552.3
cg12067261,3641,36,9,NM_002195.1
cg12067287,8736,36,18,NM_003803.2
cg12069042,5364,36,3,NM_002673.3
cg12069309,7869,36,3,NT_022517.17
cg12071073,83446,36,13,NM_031290.1
cg12071544,114990,36,16,NM_138440.1
cg12072001,10417,36,4,NM_012445.1
cg12072803,23030,36,19,NM_015015.1
cg12072973,51177,36,1,NM_016274.3
cg12073537,84790,36,12,NM_032704.2
cg12073594,55738,36,20,NM_018209.2
cg12073779,1421,36,2,NM_006891.2
cg12073949,57521,36,17,NM_020761.1
cg12076344,10999,36,9,NM_005094.2
cg12078929,94009,36,22,NM_170694.1
cg12079362,533,36,1,NM_004047.2
cg12080675,23061,36,5,NM_198868.2
cg12080812,23625,36,11,NM_152832.1
cg12081743,9734,36,7,NM_058176.1
cg12082129,9159,36,11,NM_004716.2
cg12082568,10370,36,6,NM_006079.3
cg12082615,9869,36,1,NM_012432.2
cg12085044,8883,36,16,NM_003905.3
cg12085225,23064,36,9,NM_015046.4
cg12085660,126299,36,19,NM_182498.2
cg12086773,27249,36,2,NM_015702.1
cg12087643,2674,36,10,NM_005264.2
cg12089169,11272,36,12,NM_007244.1
cg12089439,7991,36,8,NM_006765.2
cg12089698,375686,36,8,NM_198572.1
cg12090242,529,36,22,NM_001696.2
cg12090388,6135,36,1,NM_000975.2
cg12091331,5327,36,8,NM_000930.2
cg12091944,580,36,2,NM_000465.1
cg12095167,5862,36,8,NM_002865.1
cg12095491,831,36,5,NM_001750.4
cg12097239,55207,36,3,NM_018184.2
cg12099032,51314,36,7,NM_016616.2
cg12099051,25939,36,20,NM_015474.2
cg12099357,199870,36,1,NM_152660.1
cg12100077,55975,36,7,NM_018846.2
cg12100791,29108,36,16,NM_013258.3
cg12104707,79088,36,19,NM_024106.1
cg12105450,843,36,2,NM_001230.3
cg12106731,23154,36,1,NM_014284.2
cg12106945,1305,36,10,NM_005203.3
cg12107692,83596,36,19,NM_138639.1
cg12108912,80775,36,2,NM_030577.1
cg12109455,10570,36,10,NM_006426.1
cg12110626,201158,36,17,NM_145301.1
cg12111697,148254,36,19,NM_152791.3
cg12111714,51761,36,13,NM_016529.3
cg12112929,2827,36,1,NM_005281.2
cg12113075,115825,36,13,NM_052950.2
cg12113132,23582,36,15,NM_012142.2
cg12113819,23389,36,12,NM_015335.2
cg12113932,10616,36,20,NM_031227.1
cg12114524,7135,36,1,NM_003281.3
cg12116020,5566,36,19,NM_002730.3
cg12118011,6646,36,1,NM_003101.4
cg12118437,57109,36,9,NM_020385.2
cg12118465,80303,36,2,NM_025202.2
cg12119029,8558,36,16,NM_003674.2
cg12120741,1910,36,13,NT_024524.13
cg12124478,128239,36,1,NM_178229.3
cg12124516,4175,36,2,NM_005915.4
cg12125117,222487,36,16,NM_170776.3
cg12125691,1345,36,8,NM_004374.2
cg12126248,4698,36,7,NM_005000.2
cg12126786,9522,36,5,NM_052822.2
cg12127282,3233,36,2,NM_014621.2
cg12128017,284656,36,1,NM_173641.1
cg12128839,3202,36,7,NM_019102.2
cg12128876,8202,36,20,NM_006534.2
cg12130692,7957,36,6,NM_005670.3
cg12133004,121273,36,12,NM_152319.2
cg12133444,51133,36,1,NM_016121.3
cg12135976,160728,36,12,NM_145913.2
cg12137206,57678,36,10,NM_020918.2
cg12144803,8997,36,3,NM_007064.2
cg12145907,56098,36,5,NM_018928.2
cg12146151,3691,36,17,NM_001005619.1
cg12147622,,,,
cg12148581,9045,36,3,NM_003973.2
cg12148919,5796,36,6,NM_002844.2
cg12149391,1739,36,3,NM_004087.1
cg12150066,2782,36,1,NM_002074.2
cg12150401,50833,36,7,NM_016945.2
cg12152256,57862,36,14,NM_021188.1
cg12153542,28954,36,20,NM_014012.4
cg12154803,91057,36,11,NM_080654.2
cg12157010,283349,36,12,NM_178169.2
cg12158019,64064,36,1,NM_022120.1
cg12163132,6909,36,17,NM_005994.3
cg12163490,1009,36,16,NM_001797.2
cg12164282,7837,36,2,XM_935180.1
cg12167239,6576,36,22,NM_005984.1
cg12167564,1130,36,1,NM_000081.2
cg12168164,6897,36,5,NM_152295.3
cg12171761,,,,
cg12172720,11346,36,5,NM_007286.3
cg12177001,3429,36,14,NM_005532.3
cg12177023,7337,36,15,NT_026446.13
cg12177677,9595,36,2,NM_004288.3
cg12177743,54970,36,11,NM_017868.2
cg12179044,10985,36,12,NM_006836.1
cg12179176,399979,36,11,NM_014758.1
cg12180123,64895,36,2,NM_022894.2
cg12181621,8354,36,6,NM_003533.2
cg12182525,140458,36,4,NM_080874.2
cg12185908,151648,36,3,NM_138484.1
cg12186917,9946,36,21,NM_145311.1
cg12187213,56999,36,3,NM_182920.1
cg12187567,9134,36,8,NM_057735.1
cg12188416,8626,36,3,NM_003722.3
cg12188482,124936,36,17,NM_144611.2
cg12188538,54471,36,22,NM_019008.4
cg12188560,1271,36,9,NM_001842.3
cg12188860,116447,36,8,NM_052963.1
cg12189880,171177,36,15,NM_133639.2
cg12194493,54872,36,4,NM_017733.2
cg12195135,201514,36,19,NM_173548.1
cg12195695,79637,36,17,NM_024585.2
cg12197254,83986,36,16,NM_032039.1
cg12200412,913,36,1,NM_030893.1
cg12201164,57136,36,20,NM_020531.2
cg12202913,79002,36,19,NM_024038.2
cg12203852,5926,36,14,NM_002892.2
cg12204574,2564,36,X,NM_004961.3
cg12204727,54939,36,15,NM_017828.2
cg12205047,3321,36,1,NM_001542.2
cg12205230,7170,36,1,NM_152263.1
cg12205591,1409,36,21,NM_000394.2
cg12206093,83786,36,11,NM_031904.2
cg12207371,9332,36,12,NM_004244.3
cg12213457,56994,36,12,NM_020244.2
cg12213910,135250,36,6,NM_139165.1
cg12215675,83887,36,6,NM_031949.3
cg12216205,25957,36,6,NM_032870.1
cg12218747,54093,36,21,NM_017438.2
cg12219753,25941,36,18,NM_015476.2
cg12219915,9130,36,X,NM_004699.1
cg12220493,7080,36,14,NM_003317.3
cg12224394,14,36,2,NM_001087.2
cg12227762,64841,36,14,NM_198066.2
cg12228229,1742,36,17,NM_001365.1
cg12228611,23759,36,22,NM_014337.2
cg12228707,133,36,11,NM_001124.1
cg12229172,4258,36,4,NM_002413.3
cg12229387,2520,36,17,NM_000805.3
cg12230010,1979,36,10,NM_004096.3
cg12232274,84918,36,6,NM_032832.3
cg12232463,164832,36,2,NM_198461.1
cg12234947,2780,36,1,NM_005272.2
cg12236045,347731,36,10,NM_178011.2
cg12237269,6588,36,11,NM_003063.1
cg12237946,161779,36,15,NM_152595.3
cg12238343,51289,36,5,NM_016568.1
cg12239750,5832,36,10,NM_002860.3
cg12240237,80112,36,7,NM_025042.2
cg12240358,,,,
cg12240824,10778,36,18,NM_006629.3
cg12241125,7458,36,7,NM_022170.1
cg12241297,10949,36,5,NM_006805.3
cg12242338,287015,36,3,NM_152616.3
cg12243255,64651,36,3,NM_033027.2
cg12243271,3426,36,4,NM_000204.1
cg12245996,5588,36,10,NM_006257.2
cg12246527,5607,36,15,NM_002757.2
cg12247247,9349,36,17,NM_000978.2
cg12249575,7080,36,14,NM_003317.3
cg12251508,5935,36,X,NM_006743.3
cg12251804,282969,36,10,NM_198472.1
cg12254515,79139,36,8,NM_024295.3
cg12255284,157777,36,8,NM_173518.2
cg12256080,29777,36,6,NM_013375.2
cg12256228,6015,36,6,NM_002931.3
cg12259256,84336,36,17,NM_032376.2
cg12259537,80095,36,19,NM_025027.3
cg12261786,10974,36,10,NM_006829.2
cg12262564,128239,36,1,NM_178229.3
cg12263485,23468,36,12,NM_012117.1
cg12264551,283377,36,12,NM_207344.1
cg12265604,3038,36,16,NM_005329.2
cg12265829,196883,36,14,NM_139247.2
cg12266024,84668,36,7,NM_032581.2
cg12266049,595,36,11,NT_078088.3
cg12266551,10452,36,19,NM_006114.1
cg12268344,5619,36,16,NM_002761.1
cg12269343,6400,36,14,NM_005065.3
cg12270520,340385,36,8,NM_213605.1
cg12271587,7270,36,9,NM_007344.2
cg12271671,10875,36,7,NM_006682.1
cg12274479,3339,36,1,NM_005529.3
cg12274524,,,,
cg12274567,117157,36,1,NM_053282.4
cg12275348,8835,36,12,NT_019546.15
cg12276904,8971,36,3,NM_006026.2
cg12277666,163589,36,1,NM_173533.2
cg12278770,84734,36,1,NM_032648.1
cg12279128,400916,36,22,NM_213720.1
cg12280407,115207,36,13,NM_138444.2
cg12281657,145376,36,14,NM_172365.1
cg12285118,83641,36,10,NM_031453.2
cg12286890,6846,36,1,NM_003175.2
cg12287813,9648,36,2,NM_181453.2
cg12288365,154881,36,7,NM_153033.1
cg12288726,381,36,7,NM_001662.2
cg12288842,89978,36,15,NM_080650.2
cg12289045,84258,36,19,NM_032298.1
cg12290002,26271,36,6,NM_012177.2
cg12291552,27333,36,3,NM_014498.2
cg12292686,196743,36,10,NM_207129.1
cg12293634,284996,36,2,NM_173647.2
cg12294121,2560,36,4,NM_000812.2
cg12297221,116969,36,11,NM_053017.2
cg12300353,386617,36,4,NM_198353.1
cg12302621,9154,36,15,NM_004213.3
cg12304441,9958,36,12,NM_006313.1
cg12308275,9333,36,15,NM_201631.1
cg12311132,5954,36,11,NM_002901.1
cg12312863,51005,36,16,NM_015944.2
cg12313568,6311,36,12,NM_002973.2
cg12314510,140735,36,17,NM_080677.1
cg12315302,8360,36,6,NM_003539.3
cg12315311,284415,36,19,NM_198481.1
cg12315959,56521,36,10,NM_021800.2
cg12315997,6133,36,4,NM_001024921.2
cg12316147,57704,36,9,NM_020944.2
cg12317456,4313,36,16,NM_004530.2
cg12317676,10498,36,19,NM_199141.1
cg12318316,4708,36,7,NM_004546.2
cg12319004,10637,36,1,NM_020997.2
cg12320306,133,36,11,NM_001124.1
cg12320676,1876,36,2,NM_001952.3
cg12322132,51214,36,11,NT_009237.17
cg12323894,1622,36,2,NM_020548.4
cg12324144,151827,36,3,NM_153353.2
cg12324629,9706,36,17,NM_014683.2
cg12324831,7411,36,X,NM_003372.4
cg12330929,8239,36,X,NM_021906.2
cg12331389,5950,36,10,NM_006744.3
cg12331980,285025,36,2,NM_173648.2
cg12332316,2161,36,5,NM_000505.2
cg12333095,88455,36,12,NM_033121.1
cg12334759,284451,36,19,NM_182577.1
cg12335708,1803,36,2,NM_001935.3
cg12336540,92241,36,1,NM_052862.2
cg12336877,11253,36,9,NM_016219.2
cg12337114,50831,36,7,NM_016943.2
cg12339029,4632,36,2,NM_079420.1
cg12339802,54955,36,1,NM_017850.1
cg12340144,9942,36,3,NM_005108.2
cg12341414,85021,36,6,NM_031922.2
cg12343082,763,36,16,NM_001739.1
cg12343638,56124,36,5,NM_018932.3
cg12343777,247,36,17,NM_001141.1
cg12344605,6416,36,17,NM_003010.2
cg12345724,55038,36,14,NM_017955.2
cg12346515,23600,36,5,NM_014324.4
cg12346881,91975,36,5,NM_052860.1
cg12347740,146433,36,16,NM_152456.1
cg12348970,25769,36,9,NM_020344.1
cg12351042,81697,36,6,NM_033057.1
cg12351433,3973,36,2,NM_000233.1
cg12352006,55954,36,22,NM_019103.2
cg12353516,5598,36,17,NM_002749.2
cg12354377,288,36,10,NM_001149.2
cg12356261,10763,36,1,NM_006617.1
cg12359315,54716,36,3,NM_020208.2
cg12360373,11273,36,16,NM_017492.2
cg12360736,4154,36,3,NM_021038.3
cg12360886,55876,36,17,NM_018530.1
cg12361925,79137,36,2,NM_024293.2
cg12365667,3115,36,6,NM_002121.4
cg12368241,23469,36,6,NM_015153.1
cg12370791,3219,36,17,NM_024017.3
cg12370884,10606,36,4,NM_006452.2
cg12371177,55200,36,12,NM_018173.1
cg12373072,114885,36,3,NM_022776.3
cg12373771,27439,36,22,NM_031890.2
cg12374431,25806,36,2,NM_012476.1
cg12374577,79799,36,4,NM_024743.2
cg12374721,84366,36,17,NM_032391.2
cg12376277,55000,36,22,NR_002323.1
cg12376406,64184,36,14,NM_022360.3
cg12377712,9550,36,9,NM_004888.2
cg12378831,23091,36,13,NM_015070.2
cg12379145,7799,36,1,NM_012231.3
cg12379775,284739,36,20,NM_207349.1
cg12380764,29949,36,1,NM_013371.2
cg12380854,90506,36,17,NM_033413.2
cg12382902,894,36,12,NM_001759.2
cg12382941,94121,36,X,NM_080737.1
cg12384303,51442,36,X,NM_016267.2
cg12385425,200728,36,2,NM_198276.1
cg12385643,54578,36,2,NM_001072.2
cg12387247,2208,36,19,NM_002002.3
cg12388309,57144,36,20,NM_177990.1
cg12390946,3632,36,10,NM_005539.2
cg12391048,83886,36,16,NM_031948.3
cg12391174,55652,36,12,NM_017842.1
cg12391783,197370,36,16,NM_145080.2
cg12391921,26548,36,X,NM_012278.1
cg12392669,51142,36,7,NM_016139.2
cg12393697,165215,36,2,NM_177454.2
cg12397274,27283,36,6,NM_014464.2
cg12398332,51704,36,16,NM_016235.1
cg12398397,2186,36,17,NM_004459.5
cg12400041,667,36,6,NM_020388.2
cg12400881,5493,36,16,NM_002705.3
cg12402251,793,36,8,NM_004929.2
cg12402495,25912,36,1,NM_015449.1
cg12403575,8717,36,16,NM_003789.2
cg12405833,84127,36,16,NM_032167.1
cg12406417,613,36,22,NM_004327.2
cg12406460,10632,36,11,NM_006476.4
cg12406559,55205,36,18,NM_018181.4
cg12408911,8140,36,16,NM_003486.5
cg12411068,6597,36,19,NM_003072.2
cg12412075,64130,36,19,NM_022165.2
cg12413566,165904,36,3,NM_194293.2
cg12417299,6787,36,3,NM_003157.1
cg12417466,10777,36,3,NM_198399.1
cg12419067,78987,36,3,NM_015513.2
cg12420104,58524,36,9,NM_021240.2
cg12421458,3068,36,1,NM_004494.1
cg12422450,1113,36,14,NM_001275.2
cg12422683,9645,36,11,NM_014632.2
cg12422968,2643,36,14,NM_000161.2
cg12424817,55353,36,8,NM_018407.4
cg12424907,259295,36,12,NM_176889.1
cg12425673,65125,36,12,NM_018979.1
cg12426141,6938,36,15,NM_003205.3
cg12428416,2700,36,13,NM_021954.2
cg12428447,9356,36,11,NM_004790.3
cg12428604,85025,36,7,NM_032936.2
cg12430845,25836,36,5,NM_133433.2
cg12431196,57692,36,X,NM_020932.1
cg12431401,126432,36,19,NM_198445.1
cg12431699,51654,36,20,NM_016408.2
cg12432709,80323,36,18,NM_025214.1
